BO	Barrio
BJ	Bajada
BV	Bulevar
BR	Barranco
RU	Rúa
RP	Rampa
RR	Riera
RD	Ronda
RB	Rambla
RC	Rincón/Rincona
RM	Ramal
GV	Gran Vía
GR	Grupo
JR	Jardines
MALECON	Malecón
GL	Glorieta
VIA	Vía
PROLONGACION	Prolongación
CALLEJON	Callejón
CIRCUNVALACION	Circunvalación
RINCON	Rincón
HT	Huerta/Huerto
PR	Prolongación/Continuación
PS	Paseo
PQ	Parroquia/Parque
PT	Puente
PZ	Plaza
PB	Poblado
PC	Placeta/Plaça
PA	Paralela
PG	Polígono
PD	Partida
PJ	Pasaje/Pasadizo
PO	Polígono
PL	Polígono
PM	Páramo
EM	Extramuros
EN	Entrada/Ensanche
ED	Edificios
EX	Explanada
ES	Escalinata
ER	Extrarradio
MC	Mercado
ML	Muelle
MN	Município
UR	Urbanización
MT	Monte
MS	Masías
MZ	Manzana
FC	Ferrocarril/Finca
FN	Finca
JARDIN	Jardín
CJ	Calleja/Callejón
CI	Cinturón
CH	Chalet
CO	Concejo/Colegio
CN	Colonia
CM	Camino/Carmen
CL	Calle
CA	Cañada
CG	Colegio/Cigarral
CZ	Calzada
CY	Caleya
CS	Caserío
CR	Carretera/Carrera
CP	Campa/Campo
CU	Conjunto
CT	Cuesta/Costanilla
SU	Subida
SN	Salón
SL	Solar
SC	Sector
SB	Subida
SA	Salida
SD	Senda
DE	Detrás
DS	Diseminados
DP	Diputación
LG	Lugar
LD	Lado/Ladera
GENERICA	Genérica
TR	Travesía/Transversal
CANTON	Cantón
TN	Terrenos
TO	Torrente
TRAVESIA	Travesía
TRANSITO	Tránsito
AC	Acceso
AD	Aldea
AG	Agregado
AL	Aldea/Alameda
VR	Vereda
AR	Área/Arrabal
AU	Autopista
AV	Avenida
AY	Arroyo
QT	Quinta
