 02001	ABENGIBRE	Abengibre
 02002	ALATOZ	Alatoz
 02900	ALBACETE	Albacete
 02004	ALBATANA	Albatana
 02005	ALBOREA	Alborea
 02006	ALCADOZO	Alcadozo
 02007	ALCALA DEL JUCAR	Alcalá del Júcar
 02008	ALCARAZ	Alcaraz
 02009	ALMANSA	Almansa
 02010	ALPERA	Alpera
 02011	AYNA	Ayna
 02012	BALAZOTE	Balazote
 02013	BALSA DE VES	Balsa de Ves
 02015	BARRAX	Barrax
 02016	BIENSERVIDA	Bienservida
 02017	BOGARRA	Bogarra
 02018	BONETE	Bonete
 02020	CARCELEN	Carcelén
 02021	CASAS DE JUAN NUÑEZ	Casas de Juan Núñez
 02022	CASAS DE LAZARO	Casas de Lázaro
 02023	CASAS DE VES	Casas de Ves
 02024	CASAS IBAÑEZ	Casas-Ibáñez
 02025	CAUDETE	Caudete
 02026	CENIZATE	Cenizate
 02029	CHINCHILLA DE MONTE ARAGON	Chinchilla de Monte-Aragón
 02027	CORRAL RUBIO	Corral-Rubio
 02028	COTILLAS	Cotillas
 02014	EL BALLESTERO	El Ballestero
 02019	EL BONILLO	El Bonillo
 02030	ELCHE DE LA SIERRA	Elche de la Sierra
 02031	FEREZ	Férez
 02032	FUENSANTA	Fuensanta
 02033	FUENTE ALAMO	FUENTE ALAMO
 02034	FUENTEALBILLA	Fuentealbilla
 02036	GOLOSALVO	Golosalvo
 02037	HELLIN	Hellín
 02039	HIGUERUELA	Higueruela
 02040	HOYA GONZALO	Hoya-Gonzalo
 02041	JORQUERA	Jorquera
 02035	LA GINETA	La Gineta
 02038	LA HERRERA	La Herrera
 02066	LA RECUEJA	La Recueja
 02069	LA RODA	La Roda
 02042	LETUR	Letur
 02043	LEZUZA	Lezuza
 02044	LIETOR	Liétor
 02045	MADRIGUERAS	Madrigueras
 02046	MAHORA	Mahora
 02047	MASEGOSO	Masegoso
 02048	MINAYA	Minaya
 02049	MOLINICOS	Molinicos
 02050	MONTALVOS	Montalvos
 02051	MONTEALEGRE DEL CASTILLO	Montealegre del Castillo
 02052	MOTILLEJA	Motilleja
 02053	MUNERA	Munera
 02054	NAVAS DE JORQUERA	Navas de Jorquera
 02055	NERPIO	Nerpio
 02056	ONTUR	Ontur
 02057	OSSA DE MONTIEL	Ossa de Montiel
 02058	PATERNA DEL MADERA	Paterna del Madera
 02060	PEÑAS DE SAN PEDRO	Peñas de San Pedro
 02059	PEÑASCOSA	Peñascosa
 02061	PETROLA	Pétrola
 02062	POVEDILLA	Povedilla
 02087	POZO CAÑADA	Pozo Cañada
 02063	POZOHONDO	Pozohondo
 02064	POZO LORENTE	Pozo-Lorente
 02065	POZUELO	Pozuelo
 02067	RIOPAR	Riópar
 02068	ROBLEDO	Robledo
 02070	SALOBRE	Salobre
 02071	SAN PEDRO	San Pedro
 02072	SOCOVOS	Socovos
 02073	TARAZONA DE LA MANCHA	Tarazona de la Mancha
 02074	TOBARRA	Tobarra
 02075	VALDEGANGA	Valdeganga
 02076	VIANOS	Vianos
 02077	VILLA DE VES	Villa de Ves
 02078	VILLALGORDO DEL JUCAR	Villalgordo del Júcar
 02079	VILLAMALEA	Villamalea
 02080	VILLAPALACIOS	Villapalacios
 02081	VILLARROBLEDO	Villarrobledo
 02082	VILLATOYA	Villatoya
 02083	VILLAVALIENTE	Villavaliente
 02084	VILLAVERDE DE GUADALIMAR	Villaverde de Guadalimar
 02085	VIVEROS	Viveros
 02086	YESTE	Yeste
 03002	AGOST	Agost
 03003	AGRES	Agres
 03004	AIGUES	Aigües
 03005	ALBATERA	Albatera
 03006	ALCALALI	Alcalalí
 03007	ALCOCER DE PLANES	ALCOCER DE PLANES
 03008	ALCOLEJA	Alcoleja
 03009	ALCOY ALCOI	Alcoi/Alcoy
 03010	ALFAFARA	Alfafara
 03012	ALGORFA	Algorfa
 03013	ALGUEÑA	Algueña
 03900	ALICANTE ALACANT	Alacant/Alicante
 03015	ALMORADI	Almoradí
 03016	ALMUDAINA	Almudaina
 03018	ALTEA	Altea
 03019	ASPE	Aspe
 03020	BALONES	Balones
 03021	BANYERES DE MARIOLA	Banyeres de Mariola
 03022	BENASAU	Benasau
 03023	BENEIXAMA	Beneixama
 03024	BENEJUZAR	Benejúzar
 03025	BENFERRI	Benferri
 03026	BENIARBEIG	Beniarbeig
 03027	BENIARDA	Beniardà
 03028	BENIARRES	Beniarrés
 03030	BENIDOLEIG	Benidoleig
 03031	BENIDORM	Benidorm
 03032	BENIFALLIM	Benifallim
 03033	BENIFATO	Benifato
 03029	BENIGEMBLA	Benigembla
 03034	BENIJOFAR	Benijófar
 03035	BENILLOBA	Benilloba
 03036	BENILLUP	Benillup
 03037	BENIMANTELL	Benimantell
 03038	BENIMARFULL	Benimarfull
 03039	BENIMASSOT	Benimassot
 03040	BENIMELI	Benimeli
 03041	BENISSA	Benissa
 03042	BENITACHELL EL POBLE NOU DE BE	el Poble Nou de Benitatxell/Benitachell
 03043	BIAR	Biar
 03044	BIGASTRO	Bigastro
 03045	BOLULLA	Bolulla
 03046	BUSOT	Busot
 03049	CALLOSA DE SEGURA	Callosa de Segura
 03048	CALLOSA D EN SARRIA	Callosa d'en Sarrià
 03047	CALP	Calp
 03051	CAMPO DE MIRRA EL CAMP DE MIRR	el Camp de Mirra/Campo de Mirra
 03052	CAÑADA	Cañada
 03053	CASTALLA	Castalla
 03054	CASTELL DE CASTELLS	Castell de Castells
 03055	CATRAL	Catral
 03056	COCENTAINA	Cocentaina
 03057	CONFRIDES	Confrides
 03058	COX	Cox
 03059	CREVILLENT	Crevillent
 03061	DAYA NUEVA	Daya Nueva
 03062	DAYA VIEJA	Daya Vieja
 03063	DENIA	Dénia
 03064	DOLORES	Dolores
 03050	EL CAMPELLO	el Campello
 03075	EL CASTELL DE GUADALEST	el Castell de Guadalest
 03077	EL FONDO DE LES NEUS HONDON DE	el Fondó de les Neus/Hondón de las Nieves
 03105	EL PINOS   PINOSO	el Pinós/Pinoso
 03110	EL RAFOL D ALMUNIA	el Ràfol d'Almúnia
 03138	EL VERGER	el Verger
 03065	ELCHE ELX	Elx/Elche
 03066	ELDA	Elda
 03126	ELS POBLETS	els Poblets
 03067	FACHECA	Fageca
 03068	FAMORCA	Famorca
 03069	FINESTRAT	Finestrat
 03070	FORMENTERA DEL SEGURA	Formentera del Segura
 03072	GAIANES	Gaianes
 03071	GATA DE GORGOS	Gata de Gorgos
 03073	GORGA	Gorga
 03074	GRANJA DE ROCAMORA	Granja de Rocamora
 03076	GUARDAMAR DEL SEGURA	Guardamar del Segura
 03078	HONDON DE LOS FRAILES	Hondón de los Frailes
 03079	IBI	Ibi
 03080	JACARILLA	Jacarilla
 03082	JAVEA XABIA	Xàbia/Jávea
 03083	JIJONA XIXONA	Xixona/Jijona
 03094	LA NUCIA	la Nucia
 03114	LA ROMANA	la Romana
 03134	LA VALL D  ALCALA	la Vall d'Alcalà
 03135	LA VALL D  EBO	la Vall d'Ebo
 03137	LA VALL DE LAGUAR	la Vall de Laguar
 03011	L ALFAS DEL PI	l'Alfàs del Pi
 03017	L ALQUERIA D ASNAR	l'Alqueria d'Asnar
 03001	L ATZUBIA	l'Atzúbia
 03085	LLIBER	Llíber
